gate_index,gate_type,rotation_angle,gate_importance
0,ry,0.7193679766779624,0.12388883727583466
1,rx,1.3073507730534675,0.3697956160497631
2,rx,1.2612258302836397,0.3476752111361343
3,rx,0.03492766254380022,0.00030495439858702067
4,rx,1.5444370084522703,0.4868218670102097
5,rx,0.8237470681924679,0.16026161447432463
6,rz,0.017237862752132595,16.0
7,ry,0.6078281090602593,0.08955485533535146
8,ry,0.8304467716403765,0.16272699704058535
9,ry,0.772315142356431,0.14185145254211762
10,rx,0.5687920678458518,0.07872390015099451
11,ry,0.0488265905602864,0.0005958905869388742
18,rx,1.4548631992208731,0.4421631988161211
19,rx,0.022896761657991756,0.00013105969765525582
20,rz,0.7906429977831793,0.13454132960955134
21,rx,1.0835963649322342,0.2659232595785067
22,rx,0.943510012084292,0.20652507049238067
23,ry,0.694996320076586,0.1159286043279869
24,rx,1.3464006826563875,0.3887414005545481
25,rz,1.5008452561752188,0.1516719760175308
26,rx,0.5543565650795643,0.055009751408572005
27,rx,1.2379013418489828,0.17270825903631892
28,rx,1.5386306982752354,0.48391995888411443
29,rx,1.061192916675188,0.2554744270285514
36,rz,1.3690637580457925,0.3993062936291595
37,rx,0.012896754812541645,4.381105124308056
38,rz,1.2190722788187458,0.3267647154012353
39,ry,0.0295705774779574,0.0002185888342098874
40,ry,0.8141827483426903,0.1567672850982912
41,rx,1.0379223410251286,0.24599452738265348
42,rx,1.1558913640446837,0.29844852078669803
43,rx,1.4011417763811274,0.4154033621938946
44,rx,0.9578422866405787,0.15600489119633854
45,rx,0.685664627596536,0.11300080793106637
46,ry,1.3006910770456634,0.3600895917363409
47,rx,0.7173086349059551,0.12321117547115834
54,rz,0.030483415083003902,0.00023199525108918984
55,ry,1.0944536489360468,0.2707311597812201
56,ry,0.7613317036243615,0.1379971150995828
57,rx,0.5558195614904151,0.07526468756692961
58,ry,1.4773934242722184,0.4533664238300451
59,ry,1.3675214929645552,0.32941944536639634
60,rx,0.7728033225539572,0.14202182016943565
61,rx,0.7773594086724905,0.14355521497792612
62,rx,0.049754747883608785,0.0006187560724147945
63,rz,0.04507267671669309,0.00045954132411551996
64,ry,0.8796192015364817,0.18127770291174417
65,rz,1.1106982502668756,0.24555188714172416
72,rz,0.6818690079745477,0.11178811729468219
73,ry,1.4954489112014278,0.4623619057746373
74,rx,0.9829214018063279,0.22242372374784825
75,ry,1.149813384648596,0.29278544413610075
